	GPD_id	Source	GPD_VC	Size	Predicted_phage_taxon	Host_range_isolates	Host_range_taxon	Metagenomic_runs_detected	Continents_detected	Countries_detected	checkV_MIUViG	checkV_completion	checkV_viral_region	checkV_host_region	checkV_prophage	checkV_termini	Novel
55752	uvig_205729	Metagenome	51	22584	Siphoviridae	18048_1#77,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	-1	-1	-1	Genome-fragment	59.53	1-22584	-1	No	No	No
55780	uvig_205925	Metagenome	7689	17831	Podoviridae	18048_1#93,GCA_003436675,18048_2#93	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	ERR911991	Europe	United Kingdom	High-quality	99.25	1-17831	-1	No	No	No
55835	uvig_206180	Metagenome	56874	37313	Myoviridae	GCA_003603815,GCF_000218405,GCF_000820745	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/Eisenbergiella tayi,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/Eisenbergiella tayi,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/Eisenbergiella tayi	ERR912150,ERR912149	Europe,Europe	United Kingdom,United Kingdom	Genome-fragment	77.42	1-37313	-1	No	No	Yes
56018	uvig_206790	Metagenome	12938	15883	Podoviridae	GCA_003474835,GCA_003462885,GCA_003462895,GCA_003474015,GCA_003437775,18391_1#7,GCA_003437735,GCA_003437755	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B	ERR912097	Europe	United Kingdom	Genome-fragment	74.01	1-15883	-1	No	No	Yes
56024	uvig_206805	Metagenome	171	11085	Myoviridae	GCA_003480855,GCA_003477715	Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1,Firmicutes/Clostridia/Oscillospirales/Butyricicoccaceae/Agathobaculum/Agathobaculum sp1	ERR912097	Europe	United Kingdom	Genome-fragment	24.5	1-11085	-1	No	No	No
56111	uvig_207150	Metagenome	7672	11868	Siphoviridae	GCA_003472265,GCA_003468385,GCA_003469145,GCA_003473105	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR912193	Europe	United Kingdom	Genome-fragment	29.64	1-11868	-1	No	No	No
56135	uvig_207250	Metagenome	56452	15615	Podoviridae	GCA_003470125,GCA_003437175,GCA_003471295,GCF_000154085,GCA_003459865,GCA_003458965,GCA_003439655	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium bifidum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	ERR912177	Europe	United Kingdom	High-quality	-1.0	1-15615	-1	No	55-bp-DTR	Yes
56151	uvig_207272	Metagenome	51	41674	Siphoviridae	GCF_000156635,GCA_003472575,GCF_001025155,18391_1#7,GCA_003472545,GCF_000154085	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR912177	Europe	United Kingdom	Genome-fragment	70.32	1-26695	26696-41674	Yes	No	No
56169	uvig_207303	Metagenome	6786	15734	Podoviridae	GCA_003437175	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium bifidum	ERR209840,ERR912177	Europe,Europe	Spain,United Kingdom	Genome-fragment	-1.0	1-15734	-1	No	No	Yes
56176	uvig_207321	Metagenome	56425	10696	Podoviridae	GCA_003481465,GCA_003479215,GCA_003461365,13414_6#3	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus sp1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus sp1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus sp1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus sp1	ERR912177	Europe	United Kingdom	Genome-fragment	-1.0	1-10696	-1	No	No	Yes
56234	uvig_207577	Metagenome	757	33210	Siphoviridae	GCA_003468085	Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA	ERR912014	Europe	United Kingdom	Genome-fragment	86.53	1-33210	-1	No	No	No
56248	uvig_207624	Metagenome	8537	42656	Siphoviridae	GCA_003481285	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/Blautia_A wexlerae	ERR912014,SRR5127840	Europe,Europe	United Kingdom,Netherlands	Genome-fragment	82.95	4847-39664	1-4846,39665-42656	Yes	complete-prophage	Yes
56308	uvig_207830	Metagenome	4004	15325	Podoviridae	13414_6#75	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_I/Eubacterium_I ramulus	ERR912059	Europe	United Kingdom	Genome-fragment	80.18	1-15325	-1	No	32-bp-ITR	No
56397	uvig_208172	Metagenome	51	36759	Siphoviridae	GCA_003472575,18048_1#77,GCA_003436185,GCA_003472545,GCF_000154085,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR912147	Europe	United Kingdom	High-quality	96.33	1-36759	-1	No	No	No
56460	uvig_208378	Metagenome	56468	21187	Siphoviridae	GCA_003465885	Firmicutes/Bacilli/Lactobacillales/Streptococcaceae/Streptococcus/Streptococcus salivarius_C	ERR912001	Europe	United Kingdom	Genome-fragment	56.58	1-21187	-1	No	No	Yes
56627	uvig_209007	Metagenome	1339	24665	Herelleviridae	GCA_003464465,GCA_003467205,GCA_003462805	Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus,Bacteroidota/Bacteroidia/Bacteroidales/Marinifilaceae/Odoribacter/Odoribacter splanchnicus	ERR1018301,ERR912050	Asia,Europe	China,United Kingdom	Genome-fragment	22.92	1-24665	-1	No	No	No
56711	uvig_209368	Metagenome	51	26140	Siphoviridae	GCF_000154085,GCA_003436185	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B	-1	-1	-1	Genome-fragment	63.11	2204-26140	1-2203	Yes	No	No
56812	uvig_209749	Metagenome	367	11691	Siphoviridae	GCA_003472405,GCA_003473205	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	SRR4305270,ERR526037,SRR4408170,SRR4408065,ERR525714,SRR4408131,ERR525793	Europe,Europe,Europe,Europe,Europe,Europe,Europe	Russia,Denmark,Estonia,Estonia,Denmark,Estonia,Denmark	Genome-fragment	30.53	1-11691	-1	No	No	No
56844	uvig_209862	Metagenome	5946	16044	Podoviridae	GCA_003437175	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium bifidum	ERR912003	Europe	United Kingdom	Genome-fragment	-1.0	1-16044	-1	No	No	Yes
56888	uvig_210068	Metagenome	287	22582	Siphoviridae	GCA_003467905	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	-1	-1	-1	Genome-fragment	60.11	1-22582	-1	No	No	No
57112	uvig_210969	Metagenome	16676	15350	Podoviridae	13414_6#75	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_I/Eubacterium_I ramulus	ERR912143	Europe	United Kingdom	Genome-fragment	80.05	1-15350	-1	No	No	Yes
57159	uvig_211109	Metagenome	7199	17952	Podoviridae	GCA_003467905	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	ERR912154	Europe	United Kingdom	High-quality	99.93	1-17952	-1	No	No	No
57161	uvig_211111	Metagenome	42528	15882	Podoviridae	GCF_000191845,GCF_000185625	Actinobacteriota/Coriobacteriia/Coriobacteriales/Eggerthellaceae/Eggerthella/Eggerthella lenta,Actinobacteriota/Coriobacteriia/Coriobacteriales/Eggerthellaceae/Eggerthella/Eggerthella lenta	ERR912154,ERR912051	Europe,Europe	United Kingdom,United Kingdom	Genome-fragment	-1.0	1-15882	-1	No	No	Yes
57191	uvig_211215	Metagenome	43022	36439	Myoviridae	GCA_003470035	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans	ERR912160	Europe	United Kingdom	Genome-fragment	62.96	1-29628	29629-36439	Yes	No	Yes
57199	uvig_211233	Metagenome	10531	22203	Siphoviridae	GCA_003460515,GCA_003481115,GCF_000752095	Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/GCF_000752095.2,Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/GCF_000752095.2,Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/GCF_000752095.2	-1	-1	-1	Genome-fragment	60.05	1-22203	-1	No	No	Yes
57200	uvig_211237	Metagenome	2036	19820	Siphoviridae	GCA_003436315,GCA_003467755,GCA_003463505,GCA_003472575,18048_2#93,GCA_003463455,GCA_003474015,GCA_003436185,GCA_003463425,18048_1#93,GCA_003436025,GCA_003437435,GCA_003463265,GCA_003465775,GCA_003471415,GCA_003472545,GCA_003459475	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	ERR912160	Europe	United Kingdom	Genome-fragment	49.33	1-19820	-1	No	No	No
57257	uvig_211470	Metagenome	684	18845	Podoviridae	GCF_000191845,GCF_000185625	Actinobacteriota/Coriobacteriia/Coriobacteriales/Eggerthellaceae/Eggerthella/Eggerthella lenta,Actinobacteriota/Coriobacteriia/Coriobacteriales/Eggerthellaceae/Eggerthella/Eggerthella lenta	ERR912095	Europe	United Kingdom	High-quality	97.46	1-18845	-1	No	No	No
57267	uvig_211506	Metagenome	1709	20520	Myoviridae	GCA_003481825,GCA_003470405,GCA_003471015,GCA_003470035,GCA_003474775,GCF_000154245,GCA_003479845	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena_B,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Agathobacter/Agathobacter rectalis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/GCF_000154245.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1	ERR912095	Europe	United Kingdom	Genome-fragment	25.31	8314-20520	1-8313	Yes	No	No
57280	uvig_211582	Metagenome	164	36402	Siphoviridae	GCA_003468385,GCA_003469145,18048_1#77,GCA_003464325,GCA_003472265,GCA_003436185,GCA_003471505,GCF_000154085,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR912174	Europe	United Kingdom	High-quality	96.22	1-36402	-1	No	55-bp-DTR	No
57327	uvig_211736	Metagenome	4010	10262	Podoviridae	12718_7#44,GCF_000189615	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/Clostridium_Q symbiosum	ERR912038	Europe	United Kingdom	Genome-fragment	44.46	1-10262	-1	No	No	No
57351	uvig_211777	Metagenome	955	11857	Siphoviridae	GCA_003467845,GCA_003475805,GCA_003466285,GCA_003437905,20298_2#6,GCA_003437645,GCA_003435045	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Hungatella/Hungatella hathewayi_A	ERR912038	Europe	United Kingdom	Genome-fragment	27.37	1-11857	-1	No	No	No
57384	uvig_211953	Metagenome	367	34482	Siphoviridae	GCF_000185665,GCA_003472405,GCA_003473205	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	ERR526053,SRR5091505,SRR4305270,ERR526037,ERR688522,SRR4408065,ERR525710,ERR525714,ERR912044	Europe,Asia,Europe,Europe,Europe,Europe,Europe,Europe,Europe	Denmark,China,Russia,Denmark,Austria,Estonia,Denmark,Denmark,United Kingdom	Genome-fragment	88.89	1-34482	-1	No	No	No
57466	uvig_212290	Metagenome	5401	17111	Podoviridae	GCA_003481805	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus	ERR912060	Europe	United Kingdom	Genome-fragment	74.24	1-17111	-1	No	No	No
57522	uvig_212578	Metagenome	1235	16503	Siphoviridae	GCA_003462895,GCA_003468555,GCA_003457765,GCA_003462885	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B	ERR973118	Asia	Bangladesh	Genome-fragment	41.33	1-16503	-1	No	No	No
57557	uvig_212743	Metagenome	1470	16178	Myoviridae	GCA_003481045,GCA_003481285,GCA_003473495,GCA_003481515	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/Blautia_A wexlerae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/Blautia_A wexlerae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/Blautia_A wexlerae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/NA	ERR1018209	Asia	China	Genome-fragment	9.45	1-16178	-1	No	No	Yes
57567	uvig_212766	Metagenome	7604	16192	Podoviridae	GCA_003462885,GCA_003462895,GCA_003474015,GCA_003457765,GCA_003437435,GCA_003472605,GCA_003465065,GCA_003471505,GCA_003464925,GCA_003465385	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	ERR1018209	Asia	China	Genome-fragment	-1.0	1-16192	-1	No	55-bp-ITR	Yes
57582	uvig_212851	Metagenome	4011	15758	Podoviridae	GCA_003477605	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_F/Eubacterium_F sp1	ERR1018230	Asia	China	Genome-fragment	66.62	1-15758	-1	No	No	Yes
57650	uvig_213118	Metagenome	2237	32206	Siphoviridae	GCA_003473385,13414_6#29	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_E/Eubacterium_E hallii,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_E/Eubacterium_E hallii	ERR1018229	Asia	China	Genome-fragment	73.72	2806-32206	1-2805	Yes	No	No
57702	uvig_213317	Metagenome	43912	38946	Siphoviridae	18048_1#77,GCA_003436185,GCA_003471505,GCF_000154085,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR1018212	Asia	China	High-quality	100.0	1-38946	-1	No	No	Yes
57738	uvig_213452	Metagenome	57529	15256	Podoviridae	GCA_003469265	Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii	ERR1018246,SRR413700,SRR413677,ERR1190800,ERR1190948	Asia,Asia,Asia,Asia,Asia	China,China,China,China,China	Genome-fragment	65.34	1-15256	-1	No	No	Yes
57931	uvig_214218	Metagenome	1369	18951	Podoviridae	13470_2#72	Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum	ERR1018312	Asia	China	Genome-fragment	-1.0	1-14706	14707-18951	Yes	No	No
57996	uvig_214483	Metagenome	1082	12447	Podoviridae	GCA_003478385,GCA_003461905,GCA_003462445,GCA_003462305	Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/GCF_000752095.2,Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/GCF_000752095.2,Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/GCF_000752095.2,Firmicutes/Bacilli/Erysipelotrichales/Erysipelatoclostridiaceae/Erysipelatoclostridium/GCF_000752095.2	ERR1018267	Asia	China	Genome-fragment	-1.0	1-12447	-1	No	55-bp-ITR	No
58009	uvig_214556	Metagenome	47133	17767	Podoviridae	GCF_000261205,GCA_003468265,GCA_003458335,GCA_003457975,GCA_003471505	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	ERR1018195	Asia	China	High-quality	98.9	1-17767	-1	No	55-bp-ITR	Yes
58100	uvig_214871	Metagenome	29026	11943	Podoviridae	GCF_900021175	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Enterobacter_A/Enterobacter_A timonensis	ERR1018217	Asia	China	Genome-fragment	29.65	1-11943	-1	No	No	Yes
58128	uvig_214938	Metagenome	2887	15279	Podoviridae	GCA_003467905	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum	SRR341707,ERR589840,ERR1018217	Asia,Asia,Asia	China,China,China	Genome-fragment	-1.0	1-15279	-1	No	No	Yes
58180	uvig_215089	Metagenome	7881	18438	Siphoviridae	18048_1#89,18048_2#89	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_G/Eubacterium_G ventriosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_G/Eubacterium_G ventriosum	ERR1018305	Asia	China	Genome-fragment	-1.0	9130-18438	1-9129	Yes	No	Yes
